breed,classification,obey,reps_lower,reps_upper,height_low_inches,height_high_inches,weight_low_lbs,weight_high_lbs,purebred,breed_1,breed_2
border collie,brightest dogs,0.95,1.0,4.0,19.0,21.0,40.0,40.0,1,border collie,border collie
german shepherd,brightest dogs,0.95,1.0,4.0,22.0,26.0,75.0,90.0,1,german shepherd,german shepherd
golden retriever,brightest dogs,0.95,1.0,4.0,21.0,24.0,55.0,75.0,1,golden retriever,golden retriever
doberman pinscher,brightest dogs,0.95,1.0,4.0,26.0,28.0,60.0,100.0,1,doberman pinscher,doberman pinscher
labrador retriever,brightest dogs,0.95,1.0,4.0,21.0,24.0,55.0,80.0,1,labrador retriever,labrador retriever
papillon,brightest dogs,0.95,1.0,4.0,8.0,11.0,5.0,10.0,1,papillon,papillon
rottweiler,brightest dogs,0.95,1.0,4.0,22.0,27.0,90.0,110.0,1,rottweiler,rottweiler
australian cattle dog,brightest dogs,0.95,1.0,4.0,17.0,20.0,35.0,45.0,1,australian cattle dog,australian cattle dog
english springer spaniel,excellent working dogs,0.85,5.0,15.0,20.0,20.0,45.0,55.0,1,english springer spaniel,english springer spaniel
belgian tervuren,excellent working dogs,0.85,5.0,15.0,22.0,26.0,60.0,75.0,1,belgian tervuren,belgian tervuren
schipperke,excellent working dogs,0.85,5.0,15.0,10.0,13.0,12.0,18.0,1,schipperke,schipperke
belgian sheepdog,excellent working dogs,0.85,5.0,15.0,22.0,26.0,60.0,75.0,1,belgian sheepdog,belgian sheepdog
collie,excellent working dogs,0.85,5.0,15.0,22.0,26.0,50.0,75.0,1,collie,collie
keeshond,excellent working dogs,0.85,5.0,15.0,17.0,19.0,35.0,50.0,1,keeshond,keeshond
german shorthaired pointer,excellent working dogs,0.85,5.0,15.0,20.0,27.0,50.0,80.0,1,german shorthaired pointer,german shorthaired pointer
flat-coated retriever,excellent working dogs,0.85,5.0,15.0,22.0,23.0,60.0,70.0,1,flat-coated retriever,flat-coated retriever
english cocker spaniel,excellent working dogs,0.85,5.0,15.0,15.0,17.0,25.0,35.0,1,english cocker spaniel,english cocker spaniel
standard schnauzer,excellent working dogs,0.85,5.0,15.0,17.0,19.0,33.0,33.0,1,standard schnauzer,standard schnauzer
brittany,excellent working dogs,0.85,5.0,15.0,17.0,21.0,30.0,40.0,1,brittany,brittany
cocker spaniel,excellent working dogs,0.85,5.0,15.0,15.0,16.0,22.0,28.0,1,cocker spaniel,cocker spaniel
weimaraner,excellent working dogs,0.85,5.0,15.0,25.0,27.0,70.0,85.0,1,weimaraner,weimaraner
belgian malinois,excellent working dogs,0.85,5.0,15.0,22.0,26.0,60.0,65.0,1,belgian malinois,belgian malinois
bernese mountain dog,excellent working dogs,0.85,5.0,15.0,23.0,27.0,85.0,110.0,1,bernese mountain dog,bernese mountain dog
pomeranian,excellent working dogs,0.85,5.0,15.0,12.0,12.0,3.0,7.0,1,pomeranian,pomeranian
irish water spaniel,excellent working dogs,0.85,5.0,15.0,10.0,23.0,45.0,65.0,1,irish water spaniel,irish water spaniel
vizsla,excellent working dogs,0.85,5.0,15.0,48.0,66.0,22.0,25.0,1,vizsla,vizsla
cardigan welsh corgi,excellent working dogs,0.85,5.0,15.0,10.0,12.0,25.0,35.0,1,cardigan welsh corgi,cardigan welsh corgi
chesapeake bay retriever,above average working dogs,0.7,16.0,25.0,21.0,26.0,55.0,75.0,1,chesapeake bay retriever,chesapeake bay retriever
puli,above average working dogs,0.7,16.0,25.0,16.0,17.0,29.0,33.0,1,puli,puli
yorkshire terrier,above average working dogs,0.7,16.0,25.0,8.0,8.0,3.0,7.0,1,yorkshire terrier,yorkshire terrier
giant schnauzer,above average working dogs,0.7,16.0,25.0,25.0,28.0,70.0,75.0,1,giant schnauzer,giant schnauzer
portuguese water dog,above average working dogs,0.7,16.0,25.0,20.0,23.0,42.0,60.0,1,portuguese water dog,portuguese water dog
airedale terrier,above average working dogs,0.7,16.0,25.0,22.0,24.0,45.0,45.0,1,airedale terrier,airedale terrier
