id,intakedate,intakereason,istransfer,sheltercode,identichipnumber,animalname,breedname,basecolour,speciesname,animalage,sexname,location,movementdate,movementtype,istrial,returndate,returnedreason,deceaseddate,deceasedreason,diedoffshelter,puttosleep,isdoa
15801,11/28/09 0:00,Moving,0,C09115463,0A115D7358,Jadzia,Domestic Short Hair,Tortie,Cat,9 years 2 months.,Female,Adoptable Cat Glass Colony,5/13/17 0:00,Adoption,0,,Stray,,Died in care,0,0,0
15932,12/8/09 0:00,Moving,0,D09125594,0A11675477,Gonzo,German Shepherd Dog/Mix,Tan,Dog,9 years 1 month.,Male,Adoptable Dogs,4/24/17 0:00,Adoption,0,,Stray,,Died in care,0,0,0
28859,8/10/12 0:00,Abandoned,0,D12082309,0A13253C7B,Maggie,Shep Mix/Siberian Husky,Various,Dog,6 years 8 months.,Female,Adoptable Dogs,4/15/17 0:00,Adoption,0,,Stray,,Died in care,0,0,0
30812,1/11/13 0:00,Abandoned,0,C1301091,0A13403D4D,Pretty Girl,Domestic Short Hair,Dilute tortoiseshell,Cat,8 years 11 months.,Female,Stray Cats,4/18/17 0:00,Foster,0,5/29/18 0:00,Stray,,Died in care,0,0,0
30812,1/11/13 0:00,Abandoned,0,C1301091,0A13403D4D,Pretty Girl,Domestic Short Hair,Dilute tortoiseshell,Cat,8 years 11 months.,Female,Stray Cats,5/29/18 0:00,Adoption,0,,Stray,,Died in care,0,0,0
31469,3/26/13 0:00,Incompatible with owner lifestyle,0,D1303720,9.8102E+14,Bonnie,Basenji/Mix,Brown and White,Dog,5 years 11 months.,Female,Stray Dogs Beta,3/30/13 0:00,Adoption,0,5/8/17 0:00,Incompatible with owner lifestyle,,Died in care,0,0,0
31469,3/26/13 0:00,Incompatible with owner lifestyle,0,D1303720,9.8102E+14,Bonnie,Basenji/Mix,Brown and White,Dog,5 years 11 months.,Female,Stray Dogs Beta,5/9/17 0:00,Adoption,0,,Stray,,Died in care,0,0,0
40705,6/19/15 0:00,Abandoned,0,R15061738,,Candy,American Sable/American,Brown,House Rabbit,4 years 6 months.,Female,Lobby,4/12/17 0:00,Transfer,0,,Stray,,Died in care,0,0,0
40706,6/19/15 0:00,Abandoned,0,R15061739,,Charlotte,American Sable/American,Brown,House Rabbit,4 years 6 months.,Female,Lobby,4/12/17 0:00,Transfer,0,,Stray,,Died in care,0,0,0
46238,10/9/16 0:00,Abandoned,0,D16103207,9.8102E+14,Tennessee,Heeler/Mix,Brown and Black,Dog,3 years 2 months.,Male,Special Care Dogs,11/26/16 0:00,Foster,0,7/23/17 0:00,Stray,,Died in care,0,0,0
46238,10/9/16 0:00,Abandoned,0,D16103207,9.8102E+14,Tennessee,Heeler/Mix,Brown and Black,Dog,3 years 2 months.,Male,Special Care Dogs,8/9/17 0:00,Foster,0,2/14/18 0:00,Stray,,Died in care,0,0,0
46238,10/9/16 0:00,Abandoned,0,D16103207,9.8102E+14,Tennessee,Heeler/Mix,Brown and Black,Dog,3 years 2 months.,Male,Special Care Dogs,2/14/18 0:00,Adoption,0,,Stray,,Died in care,0,0,0
46437,10/26/16 0:00,Abandoned,0,C16103406,9.8102E+14,Nova,Domestic Long Hair,Black,Cat,12 years 3 months.,Female,Stray Cats,3/25/17 0:00,Foster,0,4/7/17 0:00,Stray,2/10/18 0:00,"UU - untreatable, unmanageable",0,1,0
46437,10/26/16 0:00,Abandoned,0,C16103406,9.8102E+14,Nova,Domestic Long Hair,Black,Cat,12 years 3 months.,Female,Stray Cats,4/7/17 0:00,Adoption,0,2/9/18 0:00,Incompatible with owner lifestyle,2/10/18 0:00,"UU - untreatable, unmanageable",0,1,0
46693,11/21/16 0:00,Abandoned,0,D16113659,9.8102E+14,Baby,Pitbull,White,Dog,4 years 1 month.,Male,Adoptable Dogs,4/7/17 0:00,Adoption,0,,Stray,,Died in care,0,0,0
47120,1/11/17 0:00,Abandoned,0,C17011137,9.8102E+14,Vivian,Himalayan,Seal,Cat,5 years 0 months.,Female,Foster,1/18/17 0:00,Foster,0,5/13/17 0:00,Stray,,Died in care,0,0,0
47120,1/11/17 0:00,Abandoned,0,C17011137,9.8102E+14,Vivian,Himalayan,Seal,Cat,5 years 0 months.,Female,Foster,5/13/17 0:00,Adoption,0,,Stray,,Died in care,0,0,0
47146,1/17/17 0:00,Abandoned,0,D17011163,9.8102E+14,Dinah,Labrador Retriever/Affenpinscher,Black,Dog,3 years 10 months.,Female,Foster,3/31/17 0:00,Foster,0,4/1/17 0:00,Stray,,Died in care,0,0,0
47146,1/17/17 0:00,Abandoned,0,D17011163,9.8102E+14,Dinah,Labrador Retriever/Affenpinscher,Black,Dog,3 years 10 months.,Female,Foster,4/1/17 0:00,Adoption,0,,Stray,,Died in care,0,0,0
47156,1/17/17 0:00,Abandoned,0,R17011173,,Maxwell,American,Black,House Rabbit,3 years 10 months.,Male,Lobby,3/27/17 0:00,Foster,0,4/7/17 0:00,Stray,,Died in care,0,0,0
47156,1/17/17 0:00,Abandoned,0,R17011173,,Maxwell,American,Black,House Rabbit,3 years 10 months.,Male,Lobby,4/7/17 0:00,Foster,0,4/7/17 0:00,Stray,,Died in care,0,0,0
47156,1/17/17 0:00,Abandoned,0,R17011173,,Maxwell,American,Black,House Rabbit,3 years 10 months.,Male,Lobby,5/12/17 0:00,Adoption,0,,Stray,,Died in care,0,0,0
47157,1/17/17 0:00,Abandoned,0,R17011174,,Hammer,American,Black,House Rabbit,3 years 10 months.,Male,Lobby,3/27/17 0:00,Foster,0,4/7/17 0:00,Stray,,Died in care,0,0,0
47157,1/17/17 0:00,Abandoned,0,R17011174,,Hammer,American,Black,House Rabbit,3 years 10 months.,Male,Lobby,5/12/17 0:00,Adoption,0,,Stray,,Died in care,0,0,0
47198,1/22/17 0:00,Abandoned,0,C17011213,9.8102E+14,Mama Mia,Domestic Short Hair,Grey and White,Cat,3 years 3 months.,Female,Adoptable Cat Glass Colony,2/3/17 0:00,Foster,0,5/25/17 0:00,Stray,,Died in care,0,0,0
47198,1/22/17 0:00,Abandoned,0,C17011213,9.8102E+14,Mama Mia,Domestic Short Hair,Grey and White,Cat,3 years 3 months.,Female,Adoptable Cat Glass Colony,6/22/17 0:00,Adoption,0,,Stray,,Died in care,0,0,0
47239,1/27/17 0:00,Abandoned,0,D17011254,9.8102E+14,Maria,,Brown and Black,Dog,1 year 10 months.,Female,Foster,4/1/17 0:00,Adoption,0,,Stray,,Died in care,0,0,0
47248,1/27/17 0:00,Abandoned,0,C17011263,9.8102E+14,Mr. T,DMH/DSH,Black,Cat,9 years 11 months.,Male,Foster,2/15/17 0:00,Foster,0,6/2/17 0:00,Stray,,Died in care,0,0,0
47248,1/27/17 0:00,Abandoned,0,C17011263,9.8102E+14,Mr. T,DMH/DSH,Black,Cat,9 years 11 months.,Male,Foster,6/2/17 0:00,Adoption,0,,Stray,,Died in care,0,0,0
