breed,gender,spayneuter
Pug,0,True
Jack Russ,1,False
"Mastiff, Bull",1,False
PIT BULL/GOLDEN RETRIVE X,1,False
Doberman Pinscher,1,False
Pit Bull,1,False
Chihuahua Crossbreed,1,False
German Shepherd Crossbreed,0,False
German Shepherd,1,False
Pomeranian,0,False
Dalmatian,1,True
Rottweiler,1,False
Rottweiler,1,False
Shiba Inu,1,False
Maltese,1,False
Pit Bull,1,True
Dachshund Smooth Coat,1,False
"Poodle, Standard",1,False
"Welsh Corgi, Pembroke",1,False
Shiba Inu,1,False
RAT TERRIER,1,True
American Pit Bull Terrier/Pit Bull,1,False
Staffordshire Bull Terrier,1,False
RAT TERRIER,0,True
American Pit Bull Terrier/Pit Bull,0,True
German Shepherd,1,False
Pit Bull,1,False
Akita,1,False
BULL DOG X,1,False
Pit Bull,1,False
American Pit Bull Terrier/Pit Bull,1,True
Chihuahua,1,False
American Pit Bull Mix / Pit Bull Mix,1,False
"Mastiff, Old English",1,False
Yorkshire Terrier,1,False
American Pit Bull Terrier/Pit Bull,1,False
SPRINGER SPANIEL,0,True
Pit Bull,1,False
Shiba Inu,1,False
Pit Bull,0,False
Pit Bull,1,True
Pit Bull,0,False
Pit Bull,0,True
WESTIE,1,False
Pit Bull,1,False
Pit Bull,0,False
Pit Bull,1,False
FOX HOUND,0,True
Pit Bull,1,False
Pit Bull,1,False
Weimaraner,1,True
German Shepherd,0,False
Rottweiler,0,False
American Pit Bull Mix / Pit Bull Mix,0,True
American Pit Bull Mix / Pit Bull Mix,1,False
American Pit Bull Terrier/Pit Bull,1,False
"Jindo Dog,",1,True
American Pit Bull Mix / Pit Bull Mix,0,False
"Bull Dog, English",1,True
American Pit Bull Terrier/Pit Bull,1,False
BULLDOG/SHARPEI,1,True
Shih Tzu,1,False
COCKER/CORGI X,1,False
Pit Bull,1,False
Jack Russ,1,False
Shih Tzu,1,False
Pit Bull,1,False
Pug,1,True
Yorkshire Terrier,1,False
Chow Chow,1,False
American Staffordshire Terrier,1,True
SHEPHERD MIX,1,True
Maltese,1,True
American Pit Bull Terrier/Pit Bull,1,True
Yorkshire Terrier,1,False
Cocker Spaniel,0,False
American Pit Bull Mix / Pit Bull Mix,1,True
Pit Bull,0,True
"Collie, Border",0,False
Miniature Pinscher,1,False
Shih Tzu,1,False
Doberman Pinscher,0,False
Shih Tzu,1,True
German Shepherd,0,False
"Bull Dog, French",1,True
Pekingese,1,False
Chihuahua,1,False
TERRIER,1,False
Pit Bull,1,False
HARRIER/BEAGLE,1,True
TERRIER,1,False
"Dachshund, Long Haired Miniature",1,True
American Pit Bull Terrier/Pit Bull,1,False
BOXER X W/ PIT BULL,1,True
Cocker Spaniel,0,False
Yorkshire Terrier,1,True
Chihuahua,1,False
Bull dog,1,False
American Staffordshire Terrier,1,False
American Pit Bull Terrier/Pit Bull,0,True
PITBULL/LAB RETRIEVER,0,True
BOXER/RHODESIAN RIDGEBACK X,0,False
Chihuahua Crossbreed,1,False
"Poodle, Standard",1,False
American Pit Bull Terrier/Pit Bull,1,False
Bull Terrier,1,False
CATAHOULA LEOPARD DOG,1,True
Yorkshire Terrier,0,False
Cocker Spaniel Crossbreed,1,True
BOXER/HOUND/PITBULL,0,True
German Shepherd,0,True
"Bull Dog, English",1,False
American Pit Bull Terrier/Pit Bull,1,False
Chihuahua,0,True
Pit Bull,1,False
Chihuahua,1,False
American Pit Bull Mix / Pit Bull Mix,0,True
American Pit Bull Terrier/Pit Bull,1,True
Siberian Husky,0,False
American Pit Bull Terrier/Pit Bull,1,False
American Pit Bull Terrier/Pit Bull,0,False
Rottweiler,1,True
Beagle Crossbreed,1,False
AUSTRALIAN CATTLE,0,False
Pit Bull,0,False
Pit Bull,1,False
American Pit Bull Terrier/Pit Bull,0,False
German Shepherd Crossbreed,0,True
Border Terrier,1,True
American Pit Bull Terrier/Pit Bull,1,False
ITALIAN MASTIFF,0,False
American Pit Bull Terrier/Pit Bull,1,False
American Pit Bull Terrier/Pit Bull,1,False
BEAGLE/JACK RUSS,1,True
American Pit Bull Terrier/Pit Bull,1,True
Maltese,0,True
Cane Corso,0,False
PARSON RUSSELLTERR,1,True
"Poodle, Standard",1,False
Shih Tzu,1,True
American Staffordshire Terrier,1,False
American Pit Bull Terrier/Pit Bull,1,False
American Pit Bull Terrier/Pit Bull,1,False
Siberian Husky,1,False
American Pit Bull Terrier/Pit Bull,1,False
American Pit Bull Terrier/Pit Bull,1,False
UNKNOWN,1,False
German Shepherd,1,True
American Pit Bull Terrier/Pit Bull,0,True
Pug,1,True
POINTER/BEAGLE X,0,False
SHIBA INU,1,True
Chihuahua,0,False
GERMAN SHEPHERD/RIDGEBACK,1,True
Bichon Frise,1,True
STAFFORDSHIRE TERR,0,True
American Pit Bull Terrier/Pit Bull,1,False
Chihuahua Crossbreed,1,False
"Collie, Border",1,True
American Pit Bull Mix / Pit Bull Mix,1,False
Belgian Malinois,0,False
Boxer,1,True
MALTESE - X,0,False
German Shepherd,1,False
Pit Bull,1,False
"Collie, Smooth Coat",0,True
CHIHUAHUA/BOSTON TERR X,1,True
HUSKY/CATTLE DOG MIX,1,True
HUSKY/CATTLE MIX,1,True
American Pit Bull Terrier/Pit Bull,1,True
American Staffordshire Terrier,1,False
Siberian Husky,1,True
American Pit Bull Mix / Pit Bull Mix,0,True
American Staffordshire Terrier,1,True
American Pit Bull Terrier/Pit Bull,0,False
Australian Shepherd,1,True
American Pit Bull Terrier/Pit Bull,1,True
American Pit Bull Terrier/Pit Bull,0,False
Shih Tzu,1,True
Pit Bull,0,False
American Pit Bull Mix / Pit Bull Mix,0,False
American Pit Bull Mix / Pit Bull Mix,1,True
Bloodhound,1,True
Jack Russ,1,True
American Pit Bull Terrier/Pit Bull,1,False
"Cocker Spaniel, American",1,True
American Pit Bull Terrier/Pit Bull,1,False
American Pit Bull Terrier/Pit Bull,1,False
American Pit Bull Mix / Pit Bull Mix,1,True
Cocker Spaniel Crossbreed,1,False
American Staffordshire Terrier,1,False
American Staffordshire Terrier,1,False
American Pit Bull Terrier/Pit Bull,1,True
Cane Corso,0,True
TERRIER,1,False
BORDER COLLIE/JACK RUSSELL,0,True
CORGI,1,False
Shih Tzu,1,False
MUTT,0,True
MIXED,1,True
PIT BULL/LAB X,0,False
PIT BULL/LAB X,0,False
Labrador Retriever,1,False
Labrador Retriever,0,False
American Pit Bull Terrier/Pit Bull,1,False
"Mastiff, Tibetan",1,True
MALTESE MIX,1,True
SCHNAUZER,1,False
Pit Bull,1,False
Pit Bull,0,False
American Pit Bull Mix / Pit Bull Mix,1,True
American Pit Bull Terrier/Pit Bull,1,False
American Pit Bull Mix / Pit Bull Mix,1,False
Saint Bernard,1,False
Chihuahua,1,False
West High White Terrier,1,False
West High White Terrier,1,False
Chihuahua,1,False
"Collie, Border",1,False
Labrador Retriever Crossbreed,0,True
American Pit Bull Terrier/Pit Bull,0,False
American Pit Bull Terrier/Pit Bull,1,False
Chow Chow,1,False
Doberman Pinscher,1,True
Yorkshire Terrier,1,False
TEACUP YORKIE,1,False
SHORKY,1,True
HAVANESE X,1,True
BLUE HEELER X,1,True
Pit Bull,0,True
American Pit Bull Terrier/Pit Bull,1,False
Yorkshire Terrier,1,True
Pit Bull,1,False
Chow Chow,1,False
Lhasa Apso,1,True
"Poodle, Standard",1,True
"Pointer, German Shorthaired",0,True
SCHNOODLE,1,False
Chow Chow,1,False
Yorkshire Terrier,1,False
American Pit Bull Terrier/Pit Bull,1,False
American Pit Bull Terrier/Pit Bull,0,False
Cane Corso,1,False
ENGLISH SETTER,1,False
American Pit Bull Mix / Pit Bull Mix,0,False
American Pit Bull Terrier/Pit Bull,1,False
American Pit Bull Terrier/Pit Bull,0,False
Maltese,1,False
TERRIER MIX,1,True
American Pit Bull Terrier/Pit Bull,1,False
American Pit Bull Terrier/Pit Bull,0,False
Jack Russ,0,True
Jack Russ,1,True
American Pit Bull Terrier/Pit Bull,1,False
DOBERMAN X,0,False
American Eskimo,1,True
American Staffordshire Terrier,0,True
BOSTON TERR/BOXER X,0,False
Chihuahua,1,True
Golden Retriever,0,True
MALTESE/CHIHUAHUA X,1,False
Chihuahua,1,False
Pit Bull,1,True
Pit Bull,1,False
American Pit Bull Terrier/Pit Bull,1,True
Maltese,0,True
Jack Russ,0,True
American Pit Bull Terrier/Pit Bull,1,False
American Pit Bull Terrier/Pit Bull,1,False
UNKNOWN,1,False
American Pit Bull Terrier/Pit Bull,0,False
American Staffordshire Terrier,1,False
American Pit Bull Terrier/Pit Bull,1,False
Maltese,1,False
American Pit Bull Terrier/Pit Bull,1,False
Pit Bull,1,False
American Pit Bull Terrier/Pit Bull,1,False
Mixed/Other,1,False
Vizsla,1,True
American Pit Bull Terrier/Pit Bull,1,False
American Pit Bull Terrier/Pit Bull,1,False
Jack Russ,1,False
Golden Retriever,1,False
Pit Bull,0,False
HUSKY/LAB X,0,True
American Pit Bull Terrier/Pit Bull,1,False
American Pit Bull Terrier/Pit Bull,1,False
Chihuahua,1,False
CHOW CHOW/SHEPARD X,1,False
Yorkshire Terrier,0,False
MALTIPOO,1,True
BORDER COLLIE/POINTER X,1,True
ENG SETTER,1,False
MIXED,0,False
Wire Fox Terrier,1,True
American Pit Bull Mix / Pit Bull Mix,0,False
American Pit Bull Mix / Pit Bull Mix,1,False
Chihuahua,1,False
American Pit Bull Terrier/Pit Bull,1,False
American Pit Bull Terrier/Pit Bull,1,False
Jack Russ,1,True
