,id,breed,intake_type,intake_subtype,date_in,condition,outcome,outcome_sub,date_out
0,A1093136,DOMESTIC SH,STRAY,AT LARGE,1578787200.0,APP SICK,FOSTER,TREATMENT,1578787200.0
1,A1046046,PIT BULL,STRAY,CONFINED,1574899200.0,APP WNL,ADOPTION,WALK IN,1576713600.0
2,A1098758,HAWK,WILDLIFE,NON-RABIES,1584403200.0,APP INJ,WILDLIFE,TRANSFER,1584403200.0
3,A1061310,LABRADOR RETR,STRAY,AT LARGE,1576627200.0,APP WNL,RETURNED TO OWNER,WALK IN,1576627200.0
4,A1091970,DOMESTIC SH,OWNER SURRENDER,GENERAL,1577491200.0,APP WNL,ADOPTION,WALK IN,1577664000.0
5,A1091007,CHIHUAHUA SH,STRAY,AT LARGE,1576368000.0,APP SICK,RETURNED TO OWNER,WALK IN,1576713600.0
6,A1092433,GERM SHEPHERD,FOSTER,RETURN,1578787200.0,APP WNL,TRANSFER,TRANSPORT,1578787200.0
7,A1095357,PARSON RUSS TER,OWNER SURRENDER,GENERAL,1580947200.0,APP WNL,TRANSFER,UNDERAGE,1581033600.0
8,A1086114,PIT BULL,OWNER SURRENDER,GENERAL,1573862400.0,APP WNL,ADOPTION,WALK IN,1576627200.0
9,A1091505,CHIHUAHUA SH,STRAY,AT LARGE,1576972800.0,APP WNL,ADOPTION,WALK IN,1577664000.0
10,A1091328,GERM SHEPHERD,STRAY,AT LARGE,1576800000.0,APP WNL,ADOPTION,WALK IN,1577664000.0
11,A1091134,ALASKAN HUSKY,STRAY,AT LARGE,1576540800.0,APP WNL,RETURNED TO OWNER,WALK IN,1576713600.0
12,A1079979,PIT BULL,OWNER SURRENDER,APPOINT,1600992000.0,APP WNL,EUTHANIZED,BEHAVIOR,1601337600.0
13,A1073188,GERM SHEPHERD,STRAY,AT LARGE,1576800000.0,APP WNL,RETURNED TO OWNER,FIELD,1576800000.0
14,A1095260,PIT BULL,STRAY,AT LARGE,1580860800.0,APP WNL,RETURNED TO OWNER,WALK IN,1581033600.0
15,A1090539,DOMESTIC SH,FOSTER,RETURN,1576627200.0,UNDERAGE,FOSTER,UNDERAGE,1576627200.0
16,A1090998,DOMESTIC SH,OWNER SURRENDER,GENERAL,1576368000.0,APP WNL,ADOPTION,WALK IN,1576540800.0
17,A1088787,GERM SHEPHERD,STRAY,WEB,1574035200.0,NORMAL,FOUND EXP,OTHER,1576713600.0
18,A1092019,PIT BULL,OWNER SURRENDER,GENERAL,1577577600.0,APP WNL,ADOPTION,WALK IN,1577664000.0
19,A1091109,CHIHUAHUA SH,STRAY,AT LARGE,1576540800.0,UNKNOWN,RETURNED TO OWNER,WALK IN,1576713600.0
20,A1106548,GERM SHEPHERD,STRAY,WEB,1598400000.0,NORMAL,LOST EXP,OTHER,1601337600.0
21,A1091201,RACCOON,WILDLIFE,INJURED,1576627200.0,APP SICK,EUTHANIZED,MEDICAL-CONTAGIOUS,1576627200.0
22,A1090927,SHIH TZU,STRAY,AT LARGE,1576281600.0,APP WNL,TRANSFER,MEDICAL-CONTAGIOUS,1576627200.0
23,A1091139,TOY FOX TERRIER,STRAY,CONFINED,1576540800.0,APP INJ,EUTHANIZED,MEDICAL-NONCONTAGIOUS,1576627200.0
24,A1089668,AUST CATTLE DOG,CONFISCATED,QUARANTINE,1575072000.0,APP WNL,RETURNED TO OWNER,FIELD,1575331200.0
25,A1085636,DOMESTIC MH,STRAY,AT LARGE,1571184000.0,APP SICK,ADOPTION,EAC,1577664000.0
26,A1089709,AUST SHEPHERD,FOSTER,SURGERY,1576713600.0,APP WNL,FOSTER,SURGERY,1576713600.0
27,A1089527,LABRADOR RETR,STRAY,AT LARGE,1574812800.0,APP WNL,DIED,IN KENNEL,1576540800.0
28,A1091287,POODLE MIN,STRAY,AT LARGE,1576713600.0,APP WNL,RETURNED TO OWNER,FIELD,1576713600.0
29,A1094917,PIT BULL,STRAY,AT LARGE,1580515200.0,APP INJ,ADOPTION,WALK IN,1581033600.0
30,A1070190,PIT BULL,TREATMENT,HEART WORM,1576540800.0,APP WNL,TREATMENT,COMPLETED,1576627200.0
31,A1091280,RACCOON,WILDLIFE,UNINJURED,1576713600.0,APP SICK,EUTHANIZED,HUMANE,1576713600.0
32,A1095383,SIAMESE,STRAY,AT LARGE,1580947200.0,APP WNL,FOSTER,TREATMENT,1581033600.0
