cond,age,color,breed,target
normal,Senior,black,dachshund,1
aged,Senior,tan,chihuahua,0
normal,Senior,sable,labrador retriever,1
normal,Senior,black,german shepherd,1
normal,Senior,cream,american eskimo,0
normal,Senior,black,labrador retriever,1
normal,Senior,brown,german shepherd,1
normal,Senior,black,australian cattle dog,0
normal,Senior,brown,pit bull,0
normal,Senior,red,golden retriever,0
normal,Senior,black,labrador retriever,1
normal,Senior,brown,german shepherd,1
normal,Senior,tan,labrador retriever,1
normal,Senior,blue,australian shepherd,1
normal,Senior,black,german shepherd,0
normal,Senior,red,labrador retriever,0
normal,Senior,black,labrador retriever,0
injured,Senior,white,miniature poodle,0
injured,Senior,black,field spaniel,1
normal,Senior,white,chihuahua,0
normal,Senior,white,australian cattle dog,1
injured,Senior,white,shih tzu,1
normal,Senior,black,labrador retriever,0
normal,Adult,blue,australian cattle dog,0
normal,Adult,black,labrador retriever,1
normal,Adult,chocolate,pit bull,1
normal,Adult,black,german shepherd,1
normal,Senior,white,fox terrier,0
normal,Senior,black,collie,0
normal,Senior,white,boxer,0
normal,Adult,black,german shepherd,1
normal,Senior,tan,golden retriever,0
normal,Senior,black,black and tan coonhound,1
normal,Senior,black,basset hound,0
normal,Senior,tan,chihuahua,0
normal,Senior,brown,australian cattle dog,1
normal,Senior,cream,tibetan terrier,0
normal,Senior,red,labrador retriever,0
normal,Adult,brown,border collie,0
normal,Senior,sable,german shepherd,0
aged,Senior,tan,chihuahua,0
normal,Adult,brown,chinese shar pei,0
normal,Senior,black,chow chow,1
normal,Adult,buff,labrador retriever,0
normal,Senior,blue,australian shepherd,0
normal,Senior,white,pit bull,1
normal,Senior,black,labrador retriever,1
normal,Adult,red,siberian husky,0
normal,Senior,black,chihuahua,1
normal,Senior,brown,norwich terrier,1
normal,Senior,white,labrador retriever,1
normal,Senior,red,pit bull,1
normal,Adult,red,pit bull,1
normal,Adult,brown,vizsla,1
normal,Senior,black,pit bull,1
normal,Senior,tan,pit bull,1
normal,Adult,white,australian cattle dog,0
normal,Senior,black,chihuahua,0
normal,Adult,white,australian cattle dog,1
normal,Adult,blue,pit bull,1
normal,Adult,brown,labrador retriever,0
normal,Adult,brown,chinese shar pei,0
normal,Senior,cream,labrador retriever,0
normal,Adult,white,akita,1
normal,Senior,brown,labrador retriever,1
normal,Senior,tan,australian shepherd,1
injured,Senior,black,great dane,1
normal,Senior,brown,chihuahua,1
normal,Senior,white,australian cattle dog,0
normal,Adult,brown,brittany,0
normal,Senior,chocolate,american staffordshire terrier,1
injured,Senior,white,pointer,1
normal,Adult,white,pit bull,1
normal,Senior,black,chihuahua,1
injured,Adult,red,chihuahua,1
normal,Adult,tan,pit bull,1
normal,Senior,brown,chihuahua,1
normal,Adult,tan,beagle,1
normal,Adult,black,labrador retriever,0
normal,Senior,white,australian cattle dog,0
normal,Senior,blue,pit bull,1
normal,Adult,black,border collie,0
normal,Adult,brown,plott hound,1
normal,Adult,white,miniature poodle,0
normal,Adult,blue,pit bull,0
normal,Adult,white,pit bull,1
normal,Adult,cream,border collie,0
normal,Senior,tan,pit bull,0
normal,Adult,brown,vizsla,0
normal,Senior,brown,dachshund,1
normal,Senior,red,pit bull,1
injured,Adult,brown,fox terrier,0
normal,Adult,black,rottweiler,0
normal,Adult,black,labrador retriever,1
normal,Adult,tan,australian cattle dog,1
normal,Adult,fawn,pit bull,0
normal,Adult,blue,pit bull,0
normal,Adult,tan,chihuahua,1
normal,Adult,white,pit bull,1
normal,Adult,chocolate,labrador retriever,1
normal,Adult,red,australian cattle dog,1
normal,Senior,tan,basset hound,1
normal,Adult,black,labrador retriever,1
injured,Adult,black,shiba inu,0
normal,Adult,brown,german shepherd,1
normal,Adult,black,chihuahua,1
normal,Senior,red,chihuahua,1
normal,Adult,white,australian cattle dog,0
normal,Adult,chocolate,labrador retriever,1
normal,Adult,white,pit bull,0
normal,Adult,red,labrador retriever,1
normal,Senior,white,australian cattle dog,0
normal,Adult,white,pointer,1
normal,Adult,black,labrador retriever,0
normal,Adult,white,pit bull,1
normal,Adult,black,pit bull,1
injured,Adult,black,labrador retriever,1
normal,Adult,brown,siberian husky,0
normal,Adult,tricolor,german shepherd,1
injured,Adult,gray,silky terrier,1
normal,Senior,black,chihuahua,1
normal,Adult,white,pit bull,1
injured,Adult,brown,pit bull,0
normal,Senior,white,chihuahua,0
normal,Senior,white,pit bull,1
normal,Adult,black,finnish spitz,1
injured,Adult,black,labrador retriever,1
normal,Adult,white,pit bull,0
normal,Adult,black,pit bull,1
normal,Adult,brown,american staffordshire terrier,1
normal,Adult,white,fox terrier,1
normal,Adult,black,labrador retriever,1
injured,Adult,red,pit bull,1
normal,Adult,white,australian cattle dog,1
normal,Adult,black,german shepherd,1
normal,Adult,black,bulldog,1
normal,Adult,black,bulldog,1
normal,Adult,black,border collie,0
normal,Adult,fawn,pit bull,1
normal,Adult,white,border terrier,0
normal,Adult,brown,mastiff,0
normal,Adult,brown,german shepherd,0
normal,Adult,red,rottweiler,0
normal,Adult,black,american staffordshire terrier,1
normal,Adult,black,pit bull,1
normal,Adult,white,chihuahua,1
normal,Adult,tan,border terrier,0
normal,Senior,black,american staffordshire terrier,1
normal,Adult,brown,chinese shar pei,1
normal,Senior,tan,pit bull,1
injured,Senior,black,labrador retriever,1
normal,Senior,black,beagle,0
normal,Adult,tan,basset hound,0
normal,Adult,black,labrador retriever,1
normal,Adult,black,american staffordshire terrier,1
normal,Adult,black,plott hound,1
normal,Adult,black,plott hound,1
normal,Adult,brown,german shepherd,0
normal,Adult,black,pit bull,1
normal,Adult,red,vizsla,1
normal,Adult,black,miniature schnauzer,0
normal,Adult,tricolor,fox terrier,0
normal,Adult,black,australian cattle dog,0
normal,Adult,black,pit bull,1
injured,Senior,cream,chihuahua,0
normal,Adult,brown,boxer,0
normal,Senior,black,labrador retriever,1
normal,Senior,black,labrador retriever,1
normal,Adult,tan,bulldog,1
normal,Adult,white,border collie,0
normal,Senior,brown,chihuahua,1
normal,Adult,black,labrador retriever,1
injured,Adult,black,german shepherd,1
normal,Adult,black,rottweiler,0
normal,Senior,brown,dachshund,0
normal,Senior,chocolate,labrador retriever,1
normal,Adult,chocolate,pit bull,1
normal,Adult,black,labrador retriever,1
normal,Adult,brown,australian shepherd,0
normal,Adult,blue,pit bull,1
normal,Adult,cream,soft-coated wheaten terrier,0
normal,Adult,white,chihuahua,0
normal,Adult,black,labrador retriever,1
normal,Senior,chocolate,labrador retriever,0
normal,Adult,brown,pit bull,1
normal,Adult,red,chihuahua,1
normal,Adult,black,bulldog,1
normal,Adult,tan,bulldog,1
normal,Adult,tan,pit bull,1
normal,Adult,brown,fox terrier,1
normal,Adult,black,labrador retriever,0
normal,Adult,blue,american staffordshire terrier,1
injured,Adult,brown,australian cattle dog,1
normal,Senior,red,beagle,0
normal,Adult,white,cardigan welsh corgi,1
normal,Adult,white,fox terrier,1
normal,Adult,brown,american pit bull terrier,0
normal,Adult,tricolor,pit bull,1
normal,Senior,black,rottweiler,0
normal,Adult,white,pit bull,1
normal,Senior,chocolate,dachshund,1
normal,Adult,black,cardigan welsh corgi,1
normal,Adult,blue,australian cattle dog,1
normal,Adult,gray,cairn terrier,0
normal,Adult,white,american pit bull terrier,0
normal,Adult,white,pit bull,0
normal,Adult,blue,boxer,0
normal,Adult,black,chihuahua,0
normal,Senior,tricolor,border collie,1
normal,Adult,tan,collie,0
normal,Adult,tan,american staffordshire terrier,0
normal,Adult,black,labrador retriever,0
normal,Adult,black,pit bull,0
normal,Adult,brown,bullmastiff,0
normal,Senior,black,labrador retriever,1
normal,Adult,tan,chihuahua,1
normal,Adult,black,border collie,0
normal,Adult,blue,pit bull,0
normal,Adult,white,pit bull,0
normal,Senior,tan,chihuahua,0
normal,Adult,black,labrador retriever,1
normal,Adult,chocolate,pointer,0
normal,Adult,black,labrador retriever,0
normal,Adult,black,fox terrier,0
normal,Senior,brown,chihuahua,0
normal,Adult,brown,boxer,1
normal,Adult,brown,pit bull,0
normal,Adult,brown,pit bull,0
