Breed,Heterozygosity (x10-4)
Scottish Deerhound,2.0683
Field Spaniel,2.3165
Flat-coated Retriever,2.6474
Bernese Mountain Dog,2.8129
Standard Schnauzer,2.8129
Boxer,3.0611
Collie,3.0611
Bearded Collie,3.1438
Miniature Bull Terrier,3.2266
Perro de Presa Canario,3.392
Bull Terrier,3.8057
Mastiff,3.8057
Petite Basset Griffon Vendeen,3.8884
Bedlington Terrier,3.9712
Saluki,4.1366
Standard Poodle,4.1366
Cavalier King Charles Spaniel,4.2194
Sussex Spaniel,4.2194
American Water Spaniel,4.5503
Ibizan Hound,4.7158
Beagle,4.7985
Boston Terrier,4.7985
German Pinscher,4.8812
Basset Hound,4.964
Bichon Frise,4.964
Rottweiler,4.964
Bullmastiff,5.1294
English Springer Spaniel,5.1294
Greater Swiss Mountain Dog,5.3776
Pug Dog,5.3776
Boykin Spaniel,5.5431
Italian Greyhound,5.5431
Newfoundland,5.5431
American Hairless Terrier,5.7086
Borzoi,5.7913
German Shepherd Dog,5.7913
Saint Bernard,5.7913
Dachshund,5.874
Akita,5.9568
Cocker Spaniel,6.0395
French Bulldog,6.0395
Greyhound,6.0395
Irish Water Spaniel,6.0395
Shetland Sheepdog,6.205
Papillon,6.2877
Foxhound (English),6.3704
Tibetan Terrier,6.4532
Welsh Springer Spaniel,6.4532
German Shorthaired Pointer,6.6186
Welsh Terrier,6.6186
Dalmatian,6.7014
Irish Setter,6.7014
Alaskan Malamute,6.8668
Golden Retriever,7.0323
Portugese Water Dog,7.115
Weimaraner,7.6942
Labrador Retriever,8.4388
Spinoni Italiano,8.9352
Chesapeak Bay Retriever,9.1006
English Shepherd,9.2661
