UniqueID,DateOfBite,Species,Breed,Age,Gender,SpayNeuter,Borough,ZipCode
8140,December 02 2015,DOG,Pug,7,F,true,Staten Island,
1,January 27 2015,DOG,Jack Russ,11,M,false,Brooklyn,11217
2,January 25 2015,DOG,"Mastiff, Bull",,U,false,Brooklyn,
3,January 20 2015,DOG,PIT BULL/GOLDEN RETRIVE X,,U,false,Brooklyn,11236
4,December 26 2014,DOG,Doberman Pinscher,,M,false,Brooklyn,11204
5,January 29 2015,DOG,Pit Bull,,U,false,Brooklyn,
6,January 31 2015,DOG,Chihuahua Crossbreed,3,M,false,Brooklyn,
7,January 31 2015,DOG,German Shepherd Crossbreed,,F,false,Brooklyn,11220
8,January 23 2015,DOG,German Shepherd,4,M,false,Brooklyn,11229
9,February 04 2015,DOG,Pomeranian,1,F,false,Brooklyn,11216
10,February 05 2015,DOG,Dalmatian,10,M,true,Brooklyn,11214
11,February 01 2015,DOG,Rottweiler,,U,false,Brooklyn,11204
12,February 04 2015,DOG,Rottweiler,,U,false,Brooklyn,11220
13,February 06 2015,DOG,Shiba Inu,3,M,false,Brooklyn,11252
14,February 07 2015,DOG,Maltese,,U,false,Brooklyn,11215
15,February 07 2015,DOG,Pit Bull,5,M,true,Brooklyn,11214
16,February 06 2015,DOG,Dachshund Smooth Coat,,U,false,Brooklyn,
17,January 27 2015,DOG,"Poodle, Standard",,U,false,Brooklyn,11214
18,February 10 2015,DOG,"Welsh Corgi, Pembroke",,U,false,Brooklyn,11204
19,February 07 2015,DOG,Shiba Inu,,M,false,Brooklyn,11206
20,February 07 2015,DOG,RAT TERRIER,5,M,true,Brooklyn,11208
21,January 27 2015,DOG,American Pit Bull Terrier/Pit Bull,2,M,false,Brooklyn,11228
22,February 11 2015,DOG,Staffordshire Bull Terrier,4,M,false,Brooklyn,11235
23,February 11 2015,DOG,RAT TERRIER,13,F,true,Brooklyn,11209
24,February 09 2015,DOG,American Pit Bull Terrier/Pit Bull,10,F,true,Brooklyn,11232
25,February 12 2015,DOG,German Shepherd,4,M,false,Brooklyn,11229
26,February 12 2015,DOG,Pit Bull,,U,false,Brooklyn,11237
27,February 14 2015,DOG,Akita,,M,false,Brooklyn,11237
28,February 15 2015,DOG,BULL DOG X,,M,false,Brooklyn,11234
29,February 15 2015,DOG,Pit Bull,,U,false,Brooklyn,11234
30,February 13 2015,DOG,American Pit Bull Terrier/Pit Bull,4,M,true,Brooklyn,11221
31,February 17 2015,DOG,Chihuahua,,U,false,Brooklyn,11218
32,February 15 2015,DOG,American Pit Bull Mix / Pit Bull Mix,1,M,false,Brooklyn,11207
