state,year,reporting_organizations,stray_at_large_feline,relinquished_by_owner_feline,intake_owner_intended_euthanasia_feline,transferred_in_from_agency_feline,other_intakes_feline,adoption_feline,returned_to_owner_feline,transfer_to_another_agency_feline,returned_to_field_feline,other_live_outcome_feline,died_in_care_feline,lost_in_care_feline,shelter_euthanasia_feline,outcome_owner_intended_euthanasia_feline,stray_at_large_canine,relinquished_by_owner_canine,intake_owner_intended_euthanasia_canine,transferred_in_from_agency_canine,other_intakes_canine,adoption_canine,returned_to_owner_canine,transfer_to_another_agency_canine,returned_to_field_canine,other_live_outcome_canine,died_in_care_canine,lost_in_care_canine,shelter_euthanasia_canine,outcome_owner_intended_euthanasia_canine
WI,2016,41,17541,10063,237,3706,1030,21181,1823,2647,316,513,853,19,4515,336,8790,4903,308,8677,1293,13934,5346,1828,0,369,107,7,1795,385
ID,2018,17,9037,3879,181,641,1567,9514,506,970,1161,239,345,67,2286,231,5223,3389,343,2321,652,6647,3784,472,11,36,47,6,622,326
RI,2017,8,602,902,17,470,203,1681,89,152,7,0,98,4,81,6,670,536,40,1208,449,1961,604,193,0,0,10,1,74,34
DE,2017,4,5235,1323,2,184,123,3293,28,343,2595,0,104,1,190,2,2429,691,5,1062,90,2818,845,320,0,0,23,12,250,10
OK,2016,18,1900,1219,6,2983,363,4280,78,574,360,0,206,16,417,6,2989,2264,34,4402,1155,6145,968,2853,0,4,164,21,334,50
SC,2016,29,18266,6696,87,2742,1438,14004,572,2194,2663,107,788,206,6949,90,16478,8109,256,5965,1954,17896,3570,7231,15,85,323,135,3074,271
NE,2017,13,2086,800,1,58,90,2020,88,79,115,5,139,8,589,0,1502,909,1,507,188,2144,854,124,0,0,10,0,75,0
WV,2016,9,3917,1106,15,206,209,2647,49,399,421,1,312,5,1608,2,3510,1655,30,492,710,3091,671,2296,1,191,56,7,216,6
TN,2016,49,13628,7765,364,1946,2171,11937,988,2855,1614,607,616,26,6520,332,16052,11804,771,2929,2869,15234,5279,9104,1,236,330,39,3859,638
IN,2018,37,18241,10927,403,3677,4300,20748,1055,4365,3688,895,1235,169,4599,425,15357,8546,1000,3627,3877,14980,8066,5002,1,197,227,74,2528,1001
FL,2018,93,75964,26184,2400,12165,6029,64549,2054,14925,18367,3030,3878,296,14233,1719,48864,25571,4571,16363,7395,61728,15052,12493,0,1583,688,78,6790,4203
KY,2016,31,16744,10143,321,2628,1596,13723,394,4454,1570,817,830,22,9189,323,15260,12570,842,7395,1105,14309,4515,13566,3,187,220,5,3501,822
MO,2018,18,5391,3560,6,1126,729,8705,554,140,268,43,326,15,812,15,6540,3676,31,1149,768,7438,2657,1130,0,9,126,11,599,67
