name,neighborhood,address,url,latitude,longitude,image,tags,categories
WOW Gallery,Downtown,"600 Pine St 3rd Floor, Seattle, WA 98101",https://intentionalist.com/b/wow-gallery/,47.6129277,-122.3351822,https://intentionalist.com/wp-content/uploads/2022/02/wow-150x150.jpg,"['Black-Owned', 'Minority-Owned', 'Woman-Owned']",['Art Galleries']
Good Sister Shop,West Seattle,"5902 California Ave SW, Seattle, WA 98136",https://intentionalist.com/b/good-sister-shop/,47.5501532,-122.3868228,https://intentionalist.com/wp-content/uploads/2022/02/good-sister-150x150.jpg,"['Asian-Owned', 'Black-Owned', 'Minority-Owned', 'Woman-Owned']",['Beauty & Spa']
Daimonji Sushi & Grill,Georgetown,"5963 Corson Ave S #194, Seattle, WA 98108",https://intentionalist.com/b/daimonji-sushi-grill/,47.5476331,-122.3225818,https://intentionalist.com/wp-content/uploads/2022/02/daimonji-150x150.jpg,"['Asian-Owned', 'Family-Owned', 'Minority-Owned', 'Woman-Owned']",['Restaurants']
Indigo Cow,"Seattle, WA","1911 N 45th St, Seattle, WA 98103",https://intentionalist.com/b/indigo-cow/,47.6611886,-122.3345098,https://intentionalist.com/wp-content/uploads/2022/01/indigo-cow-150x150.jpg,"['Asian-Owned', 'Minority-Owned']",['Ice Cream']
MotherIndia,Westlake,"1515 Westlake Ave N, Seattle, WA 98109",https://intentionalist.com/b/motherindia/,47.6329244,-122.3409413,https://intentionalist.com/wp-content/uploads/2022/01/mother-india-150x150.jpg,"['Asian-Owned', 'Minority-Owned']",['Restaurants']
Made in House,Fremont,"3508 Fremont Pl N, Seattle, WA 98103",https://intentionalist.com/b/made-in-house/,47.6508931,-122.3503481,https://intentionalist.com/wp-content/uploads/2022/01/made-in-house-150x150.jpg,"['Asian-Owned', 'Minority-Owned', 'Woman-Owned']",['Deli']
The Roll Pod – The Small Truck,"Seattle, WA","Seattle, WA",https://intentionalist.com/b/the-roll-pod-the-small-truck/,47.6062095,-122.3320708,https://intentionalist.com/wp-content/uploads/2022/01/the-roll-pod-small-truck-2-150x150.jpg,"['Asian-Owned', 'Family-Owned', 'Minority-Owned', 'Woman-Owned']",['Catering']
The Roll Pod – The Big Truck,South Lake Union,"500 Boren Ave N, Seattle, WA 98109",https://intentionalist.com/b/the-roll-pod-the-big-truck/,47.6240071,-122.3355709,https://intentionalist.com/wp-content/uploads/2022/01/the-roll-pod-big-truck-150x150.jpg,"['Asian-Owned', 'Family-Owned', 'Minority-Owned', 'Woman-Owned']",['Food Trucks']
SZN Seattle,South Lake Union,"823 5th Ave N, Seattle, WA 98109",https://intentionalist.com/b/szn-seattle/,47.6270155,-122.3478792,https://intentionalist.com/wp-content/uploads/2022/01/szn-seattle-150x150.jpg,"['Asian-Owned', 'Minority-Owned']",['Restaurants']
Seattle Dumpling Co.,Downtown,"1916 Pike Pl #14, Seattle, WA 98101",https://intentionalist.com/b/seattle-dumpling-co/,47.6101651,-122.3425437,https://intentionalist.com/wp-content/uploads/2022/01/IMG_1081-150x150.jpg,"['Asian-Owned', 'Minority-Owned']",['Restaurants']
Phocific Standard Time,Downtown,"1923 7th Ave, Seattle, WA 98101",https://intentionalist.com/b/phocific-standard-time/,47.6147766,-122.3373639,https://intentionalist.com/wp-content/uploads/2022/01/IMG_ACDAB6C0460C-1-150x150.jpeg,"['Asian-Owned', 'Minority-Owned', 'Woman-Owned']",['Bars']
Phở Bắc – Downtown,Downtown,"1923 7th Ave, Seattle, WA 98101",https://intentionalist.com/b/pho-bac-downtown/,47.6147766,-122.3373639,https://intentionalist.com/wp-content/uploads/2022/01/Pho-Bac-DT2-150x150.jpeg,"['Asian-Owned', 'Minority-Owned', 'Woman-Owned']",['Restaurants']
Dos Chamucos Taqueria,Uptown,"550 Queen Anne Ave N, Seattle, WA 98109",https://intentionalist.com/b/dos-chamucos-taqueria/,47.6244077,-122.3565406,https://intentionalist.com/wp-content/uploads/2022/01/dos-chamucos-150x150.jpg,"['Family-Owned', 'Latino-Owned', 'Minority-Owned', 'Woman-Owned']",['Restaurants']
Varsity Inn Restaurant,Fremont,"1801 N 34th St, Seattle, WA 98103",https://intentionalist.com/b/varsity-inn-restaurant/,47.6478885,-122.3360907,https://intentionalist.com/wp-content/uploads/2022/01/varsity-inn-150x150.png,"['Latino-Owned', 'Minority-Owned', 'Woman-Owned']",['Restaurants']
Jackson’s Catfish Corner,Central District,"2218 S Jackson St, Seattle, WA 98144",https://intentionalist.com/b/jacksons-catfish-corner/,47.5994512,-122.3024387,https://intentionalist.com/wp-content/uploads/2022/01/jacksons-150x150.jpg,"['Black-Owned', 'Family-Owned', 'Minority-Owned']",['Restaurants']
Yen Wor Village,West Seattle,"2300 California Ave SW, Seattle, WA 98116",https://intentionalist.com/b/yen-wor-village/,47.5828763,-122.3862456,https://intentionalist.com/wp-content/uploads/2022/01/yen-wor-150x150.jpg,"['Asian-Owned', 'Family-Owned', 'Minority-Owned']",['Restaurants']
Roots Movement,West Seattle,"3400 Harbor Ave SW, Seattle, WA 98126",https://intentionalist.com/b/roots-movement/,47.5727886,-122.3705708,https://intentionalist.com/wp-content/uploads/2022/01/roots-150x150.jpg,"['Asian-Owned', 'Black-Owned', 'Family-Owned', 'Minority-Owned', 'Veteran-Owned', 'Woman-Owned']",['Gyms & Yoga']
Blendily Botanic Kitchen – Seattle,Ballard,"2206 NW Market St, Seattle, WA 98107",https://intentionalist.com/b/blendily-botanic-kitchen-seattle/,47.668818,-122.3851857,https://intentionalist.com/wp-content/uploads/2022/01/blendily-sea-2-150x150.jpg,"['Asian-Owned', 'Minority-Owned', 'Woman-Owned']",['Beauty & Spa']
Cherubs Nursery School – Intergenerational Preschool,Hillman City,"5727 37th Ave S, Seattle, WA 98118",https://intentionalist.com/b/cherubs-nursery-school-intergenerational-preschool/,47.5504138,-122.2864676,https://intentionalist.com/wp-content/uploads/2022/01/cherubs-seattle-150x150.jpg,"['Asian-Owned', 'Minority-Owned', 'Woman-Owned']",['Other Services']
Ladd & Lass Brewing,University District,"722 NE 45th St, Seattle, WA 98105",https://intentionalist.com/b/ladd-lass-brewing/,47.661508,-122.3197798,https://intentionalist.com/wp-content/uploads/2022/01/ladd-lass-150x150.png,"['Asian-Owned', 'Family-Owned', 'Minority-Owned', 'Woman-Owned']",['Bars']
The Traveling Goat,Queen Anne,"621 1/2 Queen Anne Ave N, Seattle, WA 98109",https://intentionalist.com/b/the-traveling-goat/,47.625159,-122.3570891,https://intentionalist.com/wp-content/uploads/2022/01/traveling-150x150.png,"['Asian-Owned', 'Family-Owned', 'Minority-Owned', 'Woman-Owned']",['Bars']
