intake_type,condition,age_in,breed,outcome,age_out,sex,intact_out,age,primary_color,secondary_color,breed_1,breed_2,pure,obey,reps_lower,reps_upper,height_low_inches,height_high_inches,weight_low_lbs,weight_high_lbs,time_in_shelter,at_risk,cond,breed_3
surrender,normal,16.0,dachshund,adoption,16.0,1,0,senior,black,tan,dachshund,dachshund,1.0,0.5,26.0,40.0,7.0,10.0,16.0,32.0,49,1,,dachshund
public_assist,aged,17.0,chihuahua,adoption,17.0,1,0,senior,tan,black,chihuahua,chihuahua,1.0,0.3,41.0,80.0,6.0,9.0,2.0,5.0,9,0,,chihuahua
stray,normal,15.0,labrador retriever/beagle,adoption,15.0,1,0,senior,sable,white,labrador retriever,beagle,0.0,0.525,41.0,52.0,17.0,20.0,36.5,55.0,23,1,,labrador retriever
stray,normal,15.0,german shepherd,adoption,15.0,0,0,senior,black,brown,german shepherd,german shepherd,1.0,0.95,1.0,4.0,22.0,26.0,75.0,90.0,89,1,,german shepherd
stray,normal,12.0,american eskimo,euthanasia,12.0,1,0,senior,cream,cream,american eskimo,american eskimo,1.0,0.5698581560283685,25.31914893617021,41.02836879432624,9.0,19.0,25.0,30.0,9,0,,other
surrender,normal,12.0,labrador retriever,adoption,12.0,1,0,senior,black,brown,labrador retriever,labrador retriever,1.0,0.95,1.0,4.0,21.0,24.0,55.0,80.0,146,1,,labrador retriever
surrender,normal,10.0,german shepherd,adoption,11.0,0,0,senior,brown,brown,german shepherd,german shepherd,1.0,0.95,1.0,4.0,22.0,26.0,75.0,90.0,147,1,,german shepherd
stray,normal,13.0,australian cattle dog/german shepherd,euthanasia,13.0,0,0,senior,black,tricolor,australian cattle dog,german shepherd,0.0,0.95,1.0,4.0,19.5,23.0,55.0,67.5,11,0,,australian cattle dog
surrender,normal,12.0,golden retriever,euthanasia,12.0,1,0,senior,red,black,golden retriever,golden retriever,1.0,0.95,1.0,4.0,21.0,24.0,55.0,75.0,9,0,,other
surrender,normal,12.0,labrador retriever/australian cattle dog,adoption,13.0,1,0,senior,black,white,labrador retriever,australian cattle dog,0.0,0.95,1.0,4.0,19.0,22.0,45.0,62.5,90,1,,labrador retriever
surrender,normal,11.0,german shepherd,adoption,11.0,0,0,senior,brown,black,german shepherd,german shepherd,1.0,0.95,1.0,4.0,22.0,26.0,75.0,90.0,26,1,,german shepherd
surrender,normal,9.0,labrador retriever/german shepherd,adoption,9.0,1,0,senior,tan,tan,labrador retriever,german shepherd,0.0,0.95,1.0,4.0,21.5,25.0,65.0,85.0,58,1,,labrador retriever
surrender,normal,9.0,australian shepherd/chow chow,adoption,9.0,1,0,senior,blue,blue,australian shepherd,chow chow,0.0,0.3,53.5,70.0,18.5,22.5,42.5,57.5,28,1,,australian shepherd
stray,normal,10.0,german shepherd,adoption,10.0,1,0,senior,black,tan,german shepherd,german shepherd,1.0,0.95,1.0,4.0,22.0,26.0,75.0,90.0,15,0,,german shepherd
surrender,normal,9.0,labrador retriever,adoption,9.0,0,0,senior,red,black,labrador retriever,labrador retriever,1.0,0.95,1.0,4.0,21.0,24.0,55.0,80.0,19,0,,labrador retriever
surrender,normal,15.0,labrador retriever,adoption,15.0,0,0,senior,black,black,labrador retriever,labrador retriever,1.0,0.95,1.0,4.0,21.0,24.0,55.0,80.0,16,0,,labrador retriever
surrender,injured,16.0,miniature poodle,adoption,16.0,1,0,senior,white,white,miniature poodle,miniature poodle,1.0,0.5698581560283685,25.31914893617021,41.02836879432624,10.0,15.0,20.0,20.0,15,0,,miniature poodle
stray,injured,13.0,field spaniel,adoption,13.0,0,0,senior,black,black,field spaniel,field spaniel,1.0,0.7,16.0,25.0,18.0,18.0,35.0,50.0,122,1,,other
public_assist,normal,13.0,chihuahua,adoption,13.0,1,0,senior,white,brown,chihuahua,chihuahua,1.0,0.3,41.0,80.0,6.0,9.0,2.0,5.0,10,0,,chihuahua
surrender,injured,14.0,shih tzu,died,14.0,0,0,senior,white,brown,shih tzu,shih tzu,1.0,0.1,81.0,100.0,8.0,11.0,9.0,16.0,38,1,,other
surrender,normal,12.0,labrador retriever,adoption,12.0,1,0,senior,black,white,labrador retriever,labrador retriever,1.0,0.95,1.0,4.0,21.0,24.0,55.0,80.0,15,0,,labrador retriever
public_assist,normal,8.0,australian cattle dog,adoption,8.0,0,0,adult,blue,tick,australian cattle dog,australian cattle dog,1.0,0.95,1.0,4.0,17.0,20.0,35.0,45.0,13,0,,australian cattle dog
stray,normal,7.0,labrador retriever,adoption,7.0,1,0,adult,black,white,labrador retriever,labrador retriever,1.0,0.95,1.0,4.0,21.0,24.0,55.0,80.0,31,1,,labrador retriever
surrender,normal,8.0,pit bull/chinese shar pei,adoption,8.0,0,0,adult,chocolate,chocolate,pit bull,chinese shar pei,0.0,0.6,21.0,32.5,17.5,19.5,42.5,52.5,79,1,,pit bull
stray,normal,8.0,german shepherd,adoption,8.0,1,0,adult,black,tan,german shepherd,german shepherd,1.0,0.95,1.0,4.0,22.0,26.0,75.0,90.0,130,1,,german shepherd
