name,breeds
afador,"['afghan hound', 'labrador retriever']"
afaird,"['afghan hound', 'briard']"
affen spaniel,"['affenpinscher', 'cocker spaniel']"
affen border terrier,"['affenpinscher', 'border terrier']"
affen tzu,"['affenpinscher', 'shih tzu']"
affenchon,"['affenpinscher', 'bichon frise']"
affengriffon,"['affenpinscher', 'brussels griffon']"
affenhuahua,"['affenpinscher', 'chihuahua']"
affenpoo,"['affenpinscher', 'poodle']"
affenpug,"['affenpinscher', 'pug']"
affenshire,"['affenpinscher', 'yorkshire terrier']"
affenwich,"['affenpinscher', 'norwich terrier']"
afghan bay retriever,"['afghan', 'chesapeake bay retriever']"
afghan chon,"['afghan hound', 'bichon frise']"
afghan collie,"['afghan hound', 'border collie']"
afghan retriever,"['afghan hound', 'golden retriever']"
afghan sheepdog,"['afghan hound', 'belgian shepherd']"
afghan spaniel,"['afghan hound', 'cocker spaniel']"
afollie,"['afghan hound', 'collie']"
african-american bull boerboel,"['boerboel', 'american bulldog']"
airedale shepherd,"['airedale terrier', 'german shepherd']"
airedoodle,"['airedale terrier', 'poodle']"
akbash pyrenees,"['akbash dog', 'great pyrenees']"
akbash rottie,"['akbash dog', 'rottweiler']"
aki-poo,"['akita', 'poodle']"
akita basset,"['akita', 'basset hound']"
akita bernard,"['akita', 'saint bernard']"
akita chow,"['akita', 'chow chow']"
akita pit,"['akita', 'pit bull terrier']"
akita shepherd,"['akita', 'german shepherd']"
akitamatian,"['akita', 'dalmatian']"
alaskan goldenmute,"['alaskan malamute', 'golden retriever']"
alaskan husky shepherd,"['alaskan husky', 'german shepherd']"
alaskan irish setsky,"['alaskan husky', 'irish setter']"
alaskan malador,"['alaskan malamute', 'labrador retriever']"
alaskan pit bull,"['alaskan malamute', 'pit bull terrier']"
alaskan shepherd,"['alaskan malamute', 'german shepherd']"
alaskan weimsky,"['weimaraner', 'alaskan husky']"
alusky,"['alaskan malamute', 'siberian husky']"
american bandogge,"['american bulldog', 'mastiff']"
american boston bull terrier,"['american pit bull terrier', 'boston terrier']"
american boxer foxhound,"['american foxhound', 'boxer']"
american bull-aussie,"['american bulldog', 'australian shepherd']"
american bull dogue de bordeaux,"['american bulldog', 'dogue de bordeaux']"
american bull-jack,"['american bulldog', 'jack russell']"
